tid	uid	text	date	gender	age	city	state	country	ethnicity	label
-1925283213591054237	1139773437747926602	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 1 53 53 55 11 19 24 2001 117 53 53 1702 1288 2	2017-4-5	0	1	x	x	0	0	1
-7249681531102242506	601488630985069372	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 442 1380 31 7 6759 386 31 3831 24 3	2017-4-2	0	1	Dublin	County Dublin	0	1	1
-3813881905724725023	7338554885225119344	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 235 27 12312 203 827 21 3 734 5 175 6 2626 18 35 1583 1957 2999 29 3 2	2017-4-3	1	0	x	x	0	1	0
183178247505014533	6021552620383593100	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 36 117 27 201 203 40 102 26 1823 16 161 18 962 1602 20 660 31 17 7 49 1616 6687 12 161 192	2017-4-2	0	0	Scottsdale	Arizona	1	1	1
3598489776007589153	824504489630081069	0 0 0 0 0 0 0 0 0 0 0 0 0 15 1 40 9 134 53 2451 39 2667 6 114 433 53 12 4 2905 656 349 60 1764 3532 8 1036 9 5 127 107	2017-3-30	1	0	Edinburgh	Scotland	0	0	1
-1625206434219451990	1130980629880209869	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4191 738 2509 1 1107 1042 1851 333 1090 3 2	2017-4-1	1	0	Branchburg	New Jersey	1	0	0
6412163188481376457	-2293180168487378857	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 1155 61 4207 3 8 129 2514 57 4 512 3 11 1242 11 1231 10 5382 12 1655 971	2015-2-8	1	0	Independence	Kansas	1	0	1
-4566194461665732453	-5021792108497306451	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 39 6227 3228 8 4890 18 194 3165 16 618 175 29 3594 1505 2 90 1	2017-4-8	1	0	Phoenix	Arizona	1	0	0
8631001754557286979	267506442591037663	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 1485 12 4 5544 705 8 542 46 2628 45 22 9 225 3 3	2017-4-6	1	1	x	New Jersey	1	1	0
942863748303236840	2310277760745930217	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 1 55 102 265 29 108 432 28 2762 22 1632 48 230 2	2017-4-1	0	1	x	South Carolina	1	1	0
8087176162416499590	6314808318610273241	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 143 287 7 39 4 111 56 355 152 92 560 31 6812 46 18 259 46 18 11 31 2357 4775 856 14 2	2017-3-31	1	1	Gaborone	South-East District	0	1	0
7297661660925607341	4926862304955734550	0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 1737 77 185 2613 39 1933 248 18 39 26 47 10 4 5055 10 78 2527 1904 45 37 439 234 5 292 1825	2015-5-7	1	1	Portland	Oregon	1	0	0
3949130779123086582	4926862304955734550	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 259 143 62 36 1862 12 88 20 8592 28 3445 13	2015-3-14	1	1	Portland	Oregon	1	0	0
-1882916462935647559	1169740324318900795	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 470 7 498 7 1565 49 2077 21 6340 6 4250 368 19 11 4 5317	2017-4-5	0	0	Atlanta	Georgia	1	1	0
5293201545132781936	-8814514863457332695	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 149 7 120 1585 1946 177 4 14411 63 7599 510 11 107 1056 9 49 389 17 55 9 286 4 632	2017-3-31	0	0	x	Ohio	1	1	0
7854236087733236269	-2293180168487378857	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 54 56 205 96 110	2015-2-9	1	0	Independence	Kansas	1	0	1
8113906469409125721	-1358392775665922817	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 507 2279 228 25 16 4 3555 85 28 9 551 44 13 1133 2	2017-4-4	0	1	Beaufort	South Carolina	1	1	0
